function                                                                                                                                                              #calls  time     memory  time     memory
StringUtils::explode                                                                                                                                                     388  0.0501   608328  0.0211   273232
Wikibase\DataModel\Entity\PropertyId->getEntityType                                                                                                                     3339  0.0936   267152  0.0936   267152
PPDStack->push                                                                                                                                                           295  0.0630   493312  0.0173   262032
strrev                                                                                                                                                                  2630  0.0602   255608  0.0602   255608
PPNode_DOM->item                                                                                                                                                         568  0.0572   281728  0.0259   254464
PPDStackElement->addPart                                                                                                                                                 570  0.0375   278192  0.0214   250832
sprintf                                                                                                                                                                  955  0.0221   244528  0.0221   244528
mysqli->real_escape_string                                                                                                                                              1811  0.0500   237056  0.0500   237056
MagicWord::get                                                                                                                                                          1064  0.0745   416888  0.0331   229432
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/client/config/WikibaseClient.default.php:19-274}                             1  0.0003   226584  0.0003   226584
Wikibase\DataModel\LegacyIdInterpreter::constructSerialization                                                                                                          2812  0.2674   225168  0.1345   225168
ParserOutput->__construct                                                                                                                                                317  0.0097   218096  0.0097   218096
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/client/WikibaseClient.php:66-144}                                            1  0.0018   516056  0.0010   213632
array_slice                                                                                                                                                              484  0.0114   213200  0.0114   213200
Wikibase\DataModel\ByPropertyIdArray->buildIndex                                                                                                                         593  0.0824   212744  0.0305   212744
DatabaseBase->fieldNamesWithAlias                                                                                                                                        311  0.1199   212408  0.0376   212408
Wikibase\DataModel\Entity\EntityIdValue::newFromArray                                                                                                                    598  0.5377   663376  0.0451   210400
Wikibase\DataModel\ByPropertyIdArray->__construct                                                                                                                        593  0.0388    82248  0.0222   210344
include_once                                                                                                                                                               9  0.0350  2573704  0.0010   207936
trim                                                                                                                                                                    1584  0.0368   205856  0.0368   205856
Wikibase\Lib\Store\Sql\SqlEntityInfoBuilder->updateEntityInfo                                                                                                            321  0.0672   292712  0.0213   200880
CLDRPluralRuleEvaluatorRange->__construct                                                                                                                                568  0.0167   199936  0.0167   199936
Site->getNavigationIds                                                                                                                                                   916  0.0561   197856  0.0338   197856
PPDStack->getFlags                                                                                                                                                       590  0.0553   391760  0.0238   195880
PPDStackElement->getFlags                                                                                                                                                295  0.0180   195880  0.0113   195880
Title->isExternal                                                                                                                                                       4034  0.1099   193632  0.1099   193632
PPDStackElement->__construct                                                                                                                                             295  0.0212   231280  0.0127   193520
Wikibase\DataModel\Entity\DispatchingEntityIdParser->buildId                                                                                                            4014  1.1087  1976984  0.1497   192672
Wikibase\DataModel\Entity\DispatchingEntityIdParser->assertIdIsString                                                                                                   4014  0.2404   192672  0.1468   192672
addcslashes                                                                                                                                                               14  0.0007   192536  0.0007   192536
