function                                                                                                                                                              #calls  time     memory  time     memory
CdbFunctions::hash                                                                                                                                                       153  0.1186     7344  0.0388     7344
Wikibase\DataModel\Entity\ItemId->getNumericId                                                                                                                           457  0.0275    21936  0.0168     7312
HashBagOStuff->get                                                                                                                                                       304  0.0145    10944  0.0099     7296
LinkHolderArray->merge                                                                                                                                                    26  0.0008     7216  0.0008     7216
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/ValueView/tests/src/experts/resources.php:9-64}                                       1  0.0001     7712  0.0000     7144
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/vendor/data-values/javascript/src/valueParsers/resources.php:9-65}                               1  0.0001     7648  0.0000     7072
Language::getJsonMessagesFileName                                                                                                                                         86  0.0117    11152  0.0034     7024
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/vendor/data-values/javascript/lib/resources.php:9-64}                                            1  0.0001     7576  0.0000     7016
wfUrlProtocols                                                                                                                                                            29  0.0035    10248  0.0015     6976
Wikibase\Repo\Content\ItemHandler->getActionOverrides                                                                                                                      7  0.0002     6888  0.0002     6888
Linker::getLinkColour                                                                                                                                                     86  0.0800    11008  0.0032     6880
Wikibase\Lib\WikibaseDataTypeBuilders->buildUrlValidator                                                                                                                   3  0.0073   131648  0.0004     6864
DateTime->format                                                                                                                                                          71  0.0021     6816  0.0021     6816
MapCacheLRU->ping                                                                                                                                                        142  0.0041     6816  0.0041     6816
DataValues\DecimalValue->getIntegerPart                                                                                                                                  136  0.0168    10880  0.0073     6528
ReflectionClass->newInstanceArgs                                                                                                                                           1  0.0013     7808  0.0000     6456
Wikibase\DataModel\SerializerFactory->newEntitySerializer                                                                                                                  3  0.0244   404480  0.0005     6456
Wikibase\DataModel\DeserializerFactory->newClaimDeserializer                                                                                                               8  0.0140   255800  0.0006     6440
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/lib/resources/api/resources.php:6-58}                                        1  0.0001     6992  0.0001     6424
Wikibase\Repo\WikibaseRepo->getSnakValidator                                                                                                                              13  0.0042    75224  0.0008     6408
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/vendor/data-values/javascript/src/valueFormatters/resources.php:8-59}                            1  0.0001     6840  0.0000     6264
MessageCache->getParser                                                                                                                                                  316  0.1032  4565656  0.0094     6256
Wikibase\Repo\Content\EntityContentFactory->__construct                                                                                                                  130  0.0037     6240  0.0037     6240
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/lib/resources/experts/resources.php:8-56}                                    1  0.0001     6760  0.0000     6192
Wikibase\Lib\WikibaseValueFormatterBuilders->buildDefinedFormatters                                                                                                        9  0.0506  1047528  0.0009     6120
Cite::setHooks                                                                                                                                                             1  0.0003     6688  0.0001     6056
DataValues\DecimalValue::assertNumberString                                                                                                                              126  0.0158     6048  0.0067     6048
LocalisationCache->loadItem                                                                                                                                               26  0.1970   871568  0.0011     6000
Wikibase\DataModel\HashArray->preSetElement                                                                                                                              372  0.2087    65520  0.0190     5992
Wikibase\Lib\Serializers\MultilingualSerializer->serializeMultilingualValues                                                                                               2  0.0029     5976  0.0004     5976
MapCacheLRU->set                                                                                                                                                          33  0.0031     5904  0.0016     5904
Wikibase\Lib\WikibaseDataTypeBuilders->buildQuantityType                                                                                                                   1  0.0005     6288  0.0001     5856
Wikibase\Lib\WikibaseValueFormatterBuilders->newQuantityFormatter                                                                                                          5  0.0139   272520  0.0005     5848
Wikibase\Validators\UrlSchemeValidators->httpish                                                                                                                           7  0.0014    26000  0.0003     5848
CustomData->getParserData                                                                                                                                                 27  0.0017     5832  0.0010     5832
Wikibase\DataModel\DeserializerFactory->newSnaksDeserializer                                                                                                              16  0.0050    43768  0.0008     5744
ResourceLoaderSiteModule->getPages                                                                                                                                         2  0.0012     5840  0.0002     5712
{closure:/Library/WebServer/Documents/php-master/extensions/WikimediaMessages/WikimediaMessages.php:32-87}                                                                 1  0.0001     5672  0.0000     5672
Title->isSpecialPage                                                                                                                                                     118  0.0075     5664  0.0042     5664
Wikibase\Lib\WikibaseDataTypeBuilders->buildCoordinateType                                                                                                                 1  0.0121   210152  0.0003     5624
ParserOutput->setSections                                                                                                                                                 26  0.0024    11232  0.0010     5616
Language::fetchLanguageName                                                                                                                                              117  0.0434    52048  0.0064     5616
Wikibase\DataModel\SerializerFactory->newSnakSerializer                                                                                                                   18  0.0025    25064  0.0008     5616
CdbReader::open                                                                                                                                                            6  0.0033   192872  0.0003     5576
Wikibase\DataModel\Deserializers\SiteLinkDeserializer->getDeserializeBadges                                                                                               30  0.0075     9656  0.0015     5568
DatabaseBase::factory                                                                                                                                                      1  0.0100   734192  0.0001     5536
RequestContext->getOutput                                                                                                                                                 30  0.0092  1451672  0.0010     5328
PathRouter->doAdd                                                                                                                                                          3  0.0012     5400  0.0002     5256
str_repeat                                                                                                                                                               162  0.0038     5184  0.0038     5184
vsprintf                                                                                                                                                                   4  0.0001     5152  0.0001     5152
wfArrayToCgi                                                                                                                                                             109  0.0132     9360  0.0055     5056
BaseTemplate->getToolbox                                                                                                                                                   1  0.0016     5984  0.0001     5048
Wikibase\DataModel\SerializerFactory->newSnaksSerializer                                                                                                                  12  0.0035    29576  0.0007     5040
Message->inLanguage                                                                                                                                                      113  0.0039     4992  0.0037     4992
Wikibase\DataModel\SiteLinkList->addSiteLink                                                                                                                              30  0.0041     4976  0.0017     4976
Wikibase\InternalSerialization\LegacyDeserializerFactory->newItemDeserializer                                                                                              4  0.0147   377248  0.0004     4976
Wikibase\Lib\Serializers\AliasSerializer->getSerialized                                                                                                                    1  0.0003     4968  0.0001     4968
Revision::selectPageFields                                                                                                                                                 4  0.0001     4928  0.0001     4928
Message::newFallbackSequence                                                                                                                                               7  0.0020    15184  0.0005     4896
call_user_func:{/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/lib/includes/formatters/EscapingValueFormatter.php:47}               34  0.0010     4896  0.0010     4896
Wikibase\Lib\WikibaseDataTypeBuilders->getCommonStringValidators                                                                                                           2  0.0003     5328  0.0001     4880
get_object_vars                                                                                                                                                            1  0.0000     4872  0.0000     4872
{closure:/Library/WebServer/Documents/php-master/includes/Setup.php:280-296}                                                                                               1  0.0019    31024  0.0002     4840
Wikibase\Lib\WikibaseDataTypeBuilders->getDataTypeBuilders                                                                                                                 1  0.0001     4824  0.0000     4824
define                                                                                                                                                                   279  0.0068     4816  0.0068     4816
WikiPage::factory                                                                                                                                                          3  0.0003     4960  0.0002     4816
preg_quote                                                                                                                                                               111  0.0025     4784  0.0025     4784
SplObjectStorage->attach                                                                                                                                                  26  0.0007     4784  0.0007     4784
Article->setParserOptions                                                                                                                                                  1  0.0000     4776  0.0000     4776
Article->getParserOptions                                                                                                                                                  1  0.0000     4728  0.0000     4728
MessageCache->getParserOptions                                                                                                                                           316  0.0099     5672  0.0090     4632
User::newFromSession                                                                                                                                                       1  0.0001     5488  0.0001     4616
User::newFromId                                                                                                                                                            1  0.0002     5640  0.0001     4576
Wikibase\InternalSerialization\LegacyDeserializerFactory->newSnakDeserializer                                                                                             12  0.0023    48608  0.0005     4560
Wikibase\Repo\View\SiteLinksView->getSiteLinksForTable                                                                                                                     5  0.0136     8760  0.0019     4488
Wikibase\Repo\WikibaseRepo->getClaimGuidParser                                                                                                                            13  0.0027    19848  0.0006     4432
Wikibase\Repo\Content\EntityContentFactory->isEntityContentModel                                                                                                          92  0.0056     4416  0.0034     4416
wfParseUrl                                                                                                                                                               151  0.0474   117712  0.0117     4400
DataValues\QuantityValue::newFromArray                                                                                                                                     8  0.0223   129528  0.0007     4400
User->getIntOption                                                                                                                                                        91  0.0209     4368  0.0041     4368
Wikibase\SqlStore->getEntityLookup                                                                                                                                         7  0.0147   339584  0.0005     4360
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/lib/resources/formatters/resources.php:8-47}                                 1  0.0001     4928  0.0000     4352
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/lib/resources/parsers/resources.php:8-47}                                    1  0.0001     4872  0.0000     4304
Wikibase\DataModel\SerializerFactory->newClaimSerializer                                                                                                                   6  0.0148   243624  0.0005     4288
fopen                                                                                                                                                                      6  0.0003     4280  0.0003     4280
Wikibase\DataModel\Entity\Entity->setLabel                                                                                                                                10  0.0040    23512  0.0006     4144
Revision::userJoinCond                                                                                                                                                     4  0.0001     4128  0.0001     4128
Title->isRedirect                                                                                                                                                         89  0.0770     4128  0.0057     4128
DataValues\Geo\Values\GlobeCoordinateValue::newFromArray                                                                                                                   4  0.0026     4896  0.0003     4128
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/vendor/wikibase/data-model-javascript/resources.test.mw.php:5-46}                                1  0.0001     4992  0.0001     4096
Wikibase\Lib\Serializers\SerializationOptions->shouldUseUpperCaseIdsAsKeys                                                                                                85  0.0084     4080  0.0033     4080
Wikibase\Lib\Serializers\SerializationOptions->shouldUseLowerCaseIdsAsKeys                                                                                                85  0.0083     4080  0.0032     4080
Wikibase\InternalSerialization\DeserializerFactory->__construct                                                                                                            4  0.0033    72056  0.0003     4064
Wikibase\Lib\WikibaseDataTypeBuilders->buildMediaType                                                                                                                      1  0.0005     7104  0.0001     4016
Wikibase\Repo\Content\EntityHandler->makeEntityContent                                                                                                                     7  0.0079   532416  0.0004     4000
Wikibase\Repo\Specials\SpecialWikibasePage->__construct                                                                                                                   13  0.0009     5200  0.0005     3952
DataValues\QuantityValue->serialize                                                                                                                                       81  0.0223    23976  0.0032     3888
Wikibase\Lib\ClaimGuidGenerator->__construct                                                                                                                              13  0.0013    19696  0.0004     3808
Wikibase\Lib\WikibaseSnakFormatterBuilders->buildDispatchingSnakFormatter                                                                                                  2  0.0263   323408  0.0004     3808
MWNamespace::isTalk                                                                                                                                                       78  0.0022     3744  0.0022     3744
Message->exists                                                                                                                                                           77  0.3252    15912  0.0029     3696
normalizer_normalize                                                                                                                                                     108  0.0029     3696  0.0029     3696
HashBagOStuff->expire                                                                                                                                                     76  0.0046     3648  0.0029     3648
Title::newFromURL                                                                                                                                                          1  0.0094   337872  0.0001     3616
DataValues\TimeValue::getType                                                                                                                                             45  0.0012     3600  0.0012     3600
DataValues\TimeValue->__construct                                                                                                                                         75  0.0190     3600  0.0067     3600
Wikibase\Lib\Store\Sql\SqlEntityInfoBuilderFactory->newEntityInfoBuilder                                                                                                   2  0.0740   507560  0.0001     3568
Wikibase\InternalSerialization\LegacyDeserializerFactory->newPropertyDeserializer                                                                                          4  0.0022    42800  0.0003     3560
rtrim                                                                                                                                                                     21  0.0005     3560  0.0005     3560
Wikibase\Lib\Store\EntityRedirectResolvingDecorator->__construct                                                                                                          37  0.0035     3552  0.0018     3552
Revision::pageJoinCond                                                                                                                                                     4  0.0001     3456  0.0001     3456
Wikibase\DataModel\Term\TermList->setTerm                                                                                                                                 18  0.0012     3456  0.0007     3456
MWOAuthAPISetup::unconditionalSetup                                                                                                                                        1  0.0000     3424  0.0000     3424
Wikibase\DataModel\Entity\Entity->setDescription                                                                                                                           8  0.0020     5376  0.0005     3408
Wikibase\Lib\WikibaseValueFormatterBuilders->getValueFormatterBuildersForFormats                                                                                           3  0.0001     3408  0.0001     3408
Wikibase\InternalSerialization\LegacyDeserializerFactory->newTermsDeserializer                                                                                             8  0.0017    43056  0.0003     3376
QuickTemplate->setRef                                                                                                                                                     20  0.0006     3360  0.0006     3360
Revision->__construct                                                                                                                                                      4  0.0031    21760  0.0005     3296
Deserializers\TypedObjectDeserializer->requireAttribute                                                                                                                   68  0.0042     3264  0.0025     3264
Wikibase\Client\WikibaseClient->getInternalDeserializerFactory                                                                                                             1  0.0028     6320  0.0001     3264
Wikibase\Lib\UnDeserializableValueFormatter->__construct                                                                                                                   5  0.0044   287712  0.0004     3264
mysqli_init                                                                                                                                                                1  0.0000     3216  0.0000     3216
MWEchoDbFactory::newFromDefault                                                                                                                                            7  0.0005     3864  0.0003     3192
Title->getRestrictions                                                                                                                                                    15  0.0127     4288  0.0005     3192
ValueFormatters\QuantityFormatter->__construct                                                                                                                             5  0.0055   197248  0.0004     3176
Parser->setHook                                                                                                                                                           11  0.0014     5352  0.0006     3152
Wikibase\Lib\WikibaseValueFormatterBuilders->newGlobeCoordinateFormatter                                                                                                   5  0.0056   122024  0.0004     3112
Wikibase\DataModel\Snak\SnakObject->unserialize                                                                                                                           64  0.0200    31240  0.0031     3072
lcfirst                                                                                                                                                                   96  0.0022     3072  0.0022     3072
Wikibase\DataModel\Term\Fingerprint::newEmpty                                                                                                                              2  0.0035   104352  0.0002     3000
Wikibase\InternalSerialization\LegacyDeserializerFactory->newSnakListDeserializer                                                                                          8  0.0025    19392  0.0004     2992
MWTimestamp->getTimestamp                                                                                                                                                 63  0.0044     9024  0.0025     2976
Title->getFragmentForURL                                                                                                                                                  93  0.0058     7440  0.0033     2976
Wikibase\DataModel\Entity\ItemIdSet->__construct                                                                                                                          30  0.0013     3264  0.0010     2976
Wikibase\DataModel\DeserializerFactory->newReferencesDeserializer                                                                                                          8  0.0058    69064  0.0004     2968
Wikibase\InternalSerialization\LegacyDeserializerFactory->newEntityIdDeserializer                                                                                          8  0.0019    30728  0.0004     2928
getrusage                                                                                                                                                                  1  0.0000     2912  0.0000     2912
Status::newGood                                                                                                                                                            3  0.0001     2904  0.0001     2904
Wikibase\Repo\WikibaseRepo->getValueFormatterBuilders                                                                                                                      4  0.0219   616272  0.0003     2904
GenericArrayObject->__construct                                                                                                                                           11  0.0011      528  0.0005     2904
Wikibase\DataModel\Deserializers\SnakListDeserializer->assertHasGoodFormat                                                                                                60  0.0077     2880  0.0034     2880
Wikibase\DataModel\Deserializers\SiteLinkDeserializer->requireAttribute                                                                                                   60  0.0056     2880  0.0027     2880
Wikibase\DataModel\DeserializerFactory->newReferenceDeserializer                                                                                                           8  0.0038    48464  0.0004     2864
Wikibase\InternalSerialization\LegacyDeserializerFactory->newStatementDeserializer                                                                                         4  0.0079   177552  0.0003     2864
OutputPage->filterModules                                                                                                                                                  6  0.4321  3544424  0.0017     2856
Wikibase\Lib\Store\SiteLinkTable->__construct                                                                                                                             30  0.0038     2832  0.0017     2832
Block::selectFields                                                                                                                                                        1  0.0000     2832  0.0000     2832
Wikibase\InternalSerialization\LegacyDeserializerFactory->newClaimDeserializer                                                                                             4  0.0055   123784  0.0003     2832
opendir                                                                                                                                                                    8  0.0003     2816  0.0003     2816
FauxRequest->__construct                                                                                                                                                  16  0.0010     2816  0.0006     2816
ParserOptions->initialiseFromUser                                                                                                                                          4  0.0031     3392  0.0004     2816
Wikibase\DataModel\DeserializerFactory->newClaimsDeserializer                                                                                                              8  0.0160   280368  0.0004     2800
Wikibase\DataModel\Term\{closure}                                                                                                                                         58  0.0015     2784  0.0015     2784
Wikibase\InternalSerialization\DeserializerFactory->newEntityDeserializer                                                                                                  4  0.0497   989800  0.0003     2768
Language::getLocalisationCache                                                                                                                                            11  0.0042   526920  0.0005     2680
Wikibase\DirectSqlStore->newEntityRevisionLookup                                                                                                                           1  0.0004     3560  0.0001     2672
DataValues\DecimalMath->makeDecimalValue                                                                                                                                   8  0.0026     3648  0.0004     2624
MWNamespace::hasSubpages                                                                                                                                                  54  0.0016     2592  0.0016     2592
SiteSQLStore::newInstance                                                                                                                                                  4  0.0063   521824  0.0002     2560
Skin->getDefaultModules                                                                                                                                                    1  0.0010     2672  0.0001     2528
Wikibase\Lib\WikibaseSnakFormatterBuilders->getSnakFormatterBuildersForFormats                                                                                             2  0.0001     2512  0.0001     2512
wfFormatStackFrame                                                                                                                                                        28  0.0008     2504  0.0008     2504
Wikibase\DataModel\Internal\MapValueHasher->__construct                                                                                                                   26  0.0008     2496  0.0008     2496
DataValues\QuantityValue->getArrayValue                                                                                                                                    4  0.0006     2464  0.0002     2464
Title->loadRestrictionsFromRows                                                                                                                                            4  0.0164    21952  0.0003     2448
Wikibase\DataModel\SerializerFactory->newClaimsSerializer                                                                                                                  6  0.0168   266120  0.0004     2448
gettype                                                                                                                                                                   76  0.0018     2432  0.0018     2432
Wikibase\ChangeOp\ChangeOpFactoryProvider->getSiteLinkChangeOpFactory                                                                                                     10  0.0013    11192  0.0003     2416
Wikibase\DataModel\Entity\Item::newEmpty                                                                                                                                   2  0.0087   282616  0.0003     2416
Wikibase\Client\WikibaseClient::newInstance                                                                                                                                1  0.0001     2496  0.0001     2352
Wikibase\Lib\WikibaseDataTypeBuilders->buildStringType                                                                                                                     1  0.0004     5184  0.0001     2304
SearchEngine::searchableNamespaces                                                                                                                                         1  0.0303   498824  0.0001     2296
Wikibase\Lib\Serializers\EntitySerializer->__construct                                                                                                                     1  0.0016    25680  0.0001     2248
MediaWikiSite->getLinkPathType                                                                                                                                            28  0.0008     2240  0.0008     2240
{closure:/Library/WebServer/Documents/php-master/extensions/WikibaseSystemTests/WikibaseSystemTests.php:19-32}                                                             1  0.0000     2216  0.0000     2216
ComposerAutoloaderInitd912f0548c242e3ba7ad192b185e9247::getLoader                                                                                                          1  0.0021   227096  0.0008     2144
SkinFactory->register                                                                                                                                                      7  0.0004     2144  0.0002     2144
call_user_func_array:{/Library/WebServer/Documents/php-master/includes/GlobalFunctions.php:1452}                                                                           7  0.0023    17328  0.0003     2144
FakeConverter->getVariants                                                                                                                                                 7  0.0005     2128  0.0003     2128
Wikibase\InternalSerialization\LegacyDeserializerFactory->newEntityDeserializer                                                                                            4  0.0186   435880  0.0003     2128
Language->getNamespaceIds                                                                                                                                                  1  0.0079     5024  0.0004     2096
Parser->setOutputType                                                                                                                                                    368  0.0116     2088  0.0116     2088
Parser->closeParagraph                                                                                                                                                    26  0.0008     2080  0.0008     2080
ResultWrapper->rewind                                                                                                                                                     31  0.0118     4464  0.0013     2064
MobileFrontendHooks::registerMobileLoggingSchemasModule                                                                                                                    1  0.0001     2496  0.0000     2024
{closure:/Library/WebServer/Documents/php-master/extensions/Babel/Babel.class.php:519-521}                                                                                42  0.0024     2016  0.0015     2016
ResourceLoaderModule->getSource                                                                                                                                           25  0.0007     2000  0.0007     2000
DataValues\DecimalMath->roundToDigit                                                                                                                                       8  0.0044     3648  0.0005     1984
UniversalLanguageSelectorHooks::addTestModules                                                                                                                             1  0.0000     1976  0.0000     1976
Wikibase\Repo\WikibaseRepo->getInternalSerializerFactory                                                                                                                   3  0.0064    67904  0.0002     1968
Wikibase\DataModel\SiteLinkList->getIterator                                                                                                                               3  0.0002     6624  0.0001     1968
Wikibase\EntityContent->getEntityParserOutputGenerator                                                                                                                     1  0.4164  3072000  0.0004     1952
LBFactory::singleton                                                                                                                                                     559  0.0372   148720  0.0210     1952
DataValues\DecimalValue->getFractionalPart                                                                                                                                24  0.0014     1920  0.0008     1920
User->isAllowed                                                                                                                                                           40  0.0179  1269032  0.0018     1920
Cite->cloneState                                                                                                                                                           1  0.0004     4848  0.0001     1896
spl_autoload_register                                                                                                                                                      9  0.0003     1896  0.0003     1896
Wikibase\Repo\WikibaseRepo->getStore                                                                                                                                      99  0.1116  2338640  0.0029     1888
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/vendor/data-values/data-types/js/resources.php:12-35}                                            1  0.0001     2440  0.0000     1880
ResourceLoaderModule->setConfig                                                                                                                                           39  0.0011     1872  0.0011     1872
ResourceLoaderModule->setName                                                                                                                                             39  0.0011     1872  0.0011     1872
Wikibase\Repo\WikibaseRepo->getEntityContentDataCodec                                                                                                                      3  0.1236  2207312  0.0003     1848
wfRegisterParserFunctions                                                                                                                                                  1  0.0075    30696  0.0001     1848
Message->escaped                                                                                                                                                          23  0.1023     5648  0.0009     1840
{closure:/Library/WebServer/Documents/php-master/extensions/Babel/Babel.class.php:526-528}                                                                                38  0.0023     1824  0.0014     1824
Wikibase\EntityContent->getEntityView                                                                                                                                      1  0.0093   390928  0.0002     1800
MobileContext::singleton                                                                                                                                                   6  0.0003     1848  0.0002     1800
Wikibase\SqlStore->newEntityRevisionLookup                                                                                                                                 1  0.0088   279832  0.0003     1784
Wikibase\Lib\Store\RevisionBasedEntityLookup->__construct                                                                                                                 37  0.0012     1776  0.0012     1776
Wikibase\DataModel\SerializerFactory->newReferencesSerializer                                                                                                              6  0.0046    48472  0.0003     1776
Wikibase\DataModel\SerializerFactory->newReferenceSerializer                                                                                                               6  0.0029    30440  0.0003     1776
Wikibase\Client\WikibaseClient->getStore                                                                                                                                  60  0.0174   139448  0.0024     1768
Wikibase\Lib\WikibaseDataTypeBuilders->buildUrlType                                                                                                                        1  0.0011     7912  0.0001     1768
Wikibase\Lib\WikibaseValueFormatterBuilders->setValueFormatterSpec                                                                                                         1  0.0001     1768  0.0001     1768
Wikibase\Elastic\WikibaseElastic->getCredits                                                                                                                               1  0.0000     1760  0.0000     1760
Wikibase\DataModel\Deserializers\EntityIdDeserializer->__construct                                                                                                        36  0.0011     1752  0.0011     1752
Wikibase\DataModel\Term\AliasGroupList->assertIsLanguageCode                                                                                                              36  0.0022     1728  0.0013     1728
Wikibase\DataModel\Deserializers\EntityDeserializer->deserializeValuePerLanguageSerialization                                                                              4  0.0059     2592  0.0003     1728
