function                                                                                                                                                         #calls  time     memory  time     memory
Wikibase\EntityView->__construct                                                                                                                                      1  0.0074   296584  0.0003     2272
MediaWikiSite->getLinkPathType                                                                                                                                       28  0.0008     2240  0.0008     2240
Parser->closeParagraph                                                                                                                                               28  0.0008     2240  0.0008     2240
Parser->setOutputType                                                                                                                                               374  0.0118     2184  0.0118     2184
Wikibase\Lib\Serializers\EntitySerializer->__construct                                                                                                                1  0.0016    25672  0.0001     2168
Wikibase\DataModel\DeserializerFactory->newReferencesDeserializer                                                                                                     6  0.0041    62360  0.0003     2160
DataValues\DataValueObject::requireArrayFields                                                                                                                       45  0.0098     2160  0.0035     2160
Wikibase\InternalSerialization\LegacyDeserializerFactory->newEntityIdDeserializer                                                                                     6  0.0014    29856  0.0002     2160
{closure:/Library/WebServer/Documents/php-master/extensions/WikibaseSystemTests/WikibaseSystemTests.php:19-32}                                                        1  0.0000     2152  0.0000     2152
SkinFactory->register                                                                                                                                                 7  0.0004     2144  0.0003     2144
call_user_func_array:{/Library/WebServer/Documents/php-master/includes/GlobalFunctions.php:1452}                                                                      7  0.0022    17328  0.0003     2144
ComposerAutoloaderInitd912f0548c242e3ba7ad192b185e9247::getLoader                                                                                                     1  0.0021   227096  0.0008     2144
FakeConverter->getVariants                                                                                                                                            7  0.0005     2128  0.0003     2128
Wikibase\DataModel\DeserializerFactory->newReferenceDeserializer                                                                                                      6  0.0027    42712  0.0003     2112
Language->getNamespaceIds                                                                                                                                             1  0.0072     5024  0.0003     2096
Wikibase\DataModel\DeserializerFactory->newClaimsDeserializer                                                                                                         6  0.0114   264296  0.0003     2064
ResultWrapper->rewind                                                                                                                                                31  0.0120     4464  0.0014     2064
Wikibase\InternalSerialization\DeserializerFactory->newEntityDeserializer                                                                                             3  0.0338   884400  0.0002     2040
MobileFrontendHooks::registerMobileLoggingSchemasModule                                                                                                               1  0.0001     2496  0.0000     2024
{closure:/Library/WebServer/Documents/php-master/extensions/Babel/Babel.class.php:519-521}                                                                           42  0.0023     2016  0.0014     2016
DataValues\DecimalMath->roundToDigit                                                                                                                                  8  0.0044     3648  0.0005     1984
UniversalLanguageSelectorHooks::addTestModules                                                                                                                        1  0.0000     1976  0.0000     1976
Wikibase\DataModel\Entity\Entity->getStubbedId                                                                                                                        5  0.0011     2200  0.0004     1960
LBFactory::singleton                                                                                                                                                559  0.0376   148744  0.0214     1952
User->isAllowed                                                                                                                                                      40  0.0184  1269424  0.0018     1920
ResourceLoaderModule->getSource                                                                                                                                      24  0.0006     1920  0.0006     1920
Wikibase\ItemContent->newEntityView                                                                                                                                   1  0.0135   668552  0.0002     1920
DataValues\DecimalValue->getFractionalPart                                                                                                                           24  0.0014     1920  0.0009     1920
SiteSQLStore::newInstance                                                                                                                                             3  0.0060   516032  0.0001     1920
Cite->cloneState                                                                                                                                                      1  0.0003     4848  0.0001     1896
spl_autoload_register                                                                                                                                                 9  0.0002     1888  0.0002     1888
Wikibase\Repo\WikibaseRepo->getStore                                                                                                                                213  0.0880  2201760  0.0063     1888
{closure:/Library/WebServer/Documents/php-master/extensions/Wikidata/vendor/data-values/data-types/js/resources.php:12-35}                                            1  0.0001     2432  0.0000     1872
ResourceLoaderModule->setName                                                                                                                                        39  0.0011     1872  0.0011     1872
ResourceLoaderModule->setConfig                                                                                                                                      39  0.0011     1872  0.0011     1872
Wikibase\Repo\WikibaseRepo->getEntityContentDataCodec                                                                                                                 3  0.0941  2062496  0.0002     1848
wfRegisterParserFunctions                                                                                                                                             1  0.0072    30696  0.0001     1848
{closure:/Library/WebServer/Documents/php-master/extensions/Babel/Babel.class.php:526-528}                                                                           38  0.0022     1824  0.0013     1824
MobileContext::singleton                                                                                                                                              6  0.0003     1856  0.0002     1808
Wikibase\DataModel\SerializerFactory->newReferenceSerializer                                                                                                          6  0.0023    29464  0.0003     1784
Wikibase\DataModel\SerializerFactory->newClaimsSerializer                                                                                                             6  0.0101   161504  0.0003     1776
Wikibase\DataModel\SerializerFactory->newReferencesSerializer                                                                                                         6  0.0038    47440  0.0003     1776
Wikibase\Lib\WikibaseDataTypeBuilders->buildUrlType                                                                                                                   1  0.0011     7912  0.0001     1768
Wikibase\SqlStore->newEntityRevisionLookup                                                                                                                            1  0.0082   279744  0.0002     1768
Wikibase\Lib\WikibaseValueFormatterBuilders->setValueFormatterSpec                                                                                                    1  0.0001     1768  0.0001     1768
Wikibase\Elastic\WikibaseElastic->getCredits                                                                                                                          1  0.0000     1736  0.0000     1736
Wikibase\DataModel\Deserializers\EntityDeserializer->deserializeValuePerLanguageSerialization                                                                         4  0.0059     2592  0.0003     1728
User->isLoggedIn                                                                                                                                                     35  0.0037     1680  0.0013     1680
Message->parse                                                                                                                                                       21  0.5769    80064  0.0008     1680
ResourceLoaderContext->__construct                                                                                                                                   16  0.0575    12936  0.0021     1664
Wikibase\Lib\WikibaseDataTypeBuilders->buildItemType                                                                                                                  1  0.0013    17560  0.0001     1648
call_user_func_array:{/Library/WebServer/Documents/php-master/includes/page/Article.php:2004}                                                                         8  2.2697  2903624  0.0003     1632
Wikibase\Validators\EntityConstraintProvider->__construct                                                                                                            34  0.0011     1632  0.0011     1632
Wikibase\DataModel\Deserializers\ClaimDeserializer->assertQualifiersOrderIsArray                                                                                     34  0.0021     1632  0.0013     1632
Article->newPage                                                                                                                                                      1  0.0001     1664  0.0000     1616
User->clearInstanceCache                                                                                                                                              2  0.0001     1608  0.0001     1608
DataValues\GlobeCoordinateValue::getType                                                                                                                             20  0.0006     1600  0.0006     1600
Language::newFromCode                                                                                                                                                 1  0.0110  2092440  0.0001     1600
{closure:/Library/WebServer/Documents/php-master/extensions/Wikidata/extensions/WikimediaBadges/resources/Resources.php:12-31}                                        1  0.0001     2160  0.0000     1600
Wikibase\Client\WikibaseClient::getDefaultInstance                                                                                                                   34  0.0012     4104  0.0011     1584
Wikibase\Repo\WikibaseRepo->getInternalSerializerFactory                                                                                                              3  0.0051    56752  0.0002     1560
CoreTagHooks::register                                                                                                                                                1  0.0004     2928  0.0001     1560
Wikibase\InternalSerialization\LegacyDeserializerFactory->newEntityDeserializer                                                                                       3  0.0112   352136  0.0002     1560
BaseTemplate->getFooterLinks                                                                                                                                          1  0.0002     1544  0.0001     1544
Wikibase\Validators\SnakValidator->__construct                                                                                                                       32  0.0010     1536  0.0010     1536
Revision::selectUserFields                                                                                                                                            4  0.0001     1536  0.0001     1536
Wikibase\DataModel\Claim\ClaimGuidParser->__construct                                                                                                                32  0.0009     1536  0.0009     1536
Title->loadFromRow                                                                                                                                                   10  0.0005     1728  0.0004     1536
Wikibase\Validators\TermValidatorFactory->__construct                                                                                                                32  0.0021     1536  0.0013     1536
Wikibase\ChangeOp\ChangeOpFactoryProvider->__construct                                                                                                               32  0.0011     1536  0.0011     1536
OutputPage->addJsConfigVars                                                                                                                                           4  0.0002     1520  0.0002     1520
Language->getMonthAbbreviationsArray                                                                                                                                  1  0.0644     7072  0.0002     1504
Language->getMonthNamesArray                                                                                                                                          1  0.0553     5808  0.0002     1504
Wikibase\NamespaceChecker->isEnabled                                                                                                                                 31  0.0019     1488  0.0011     1488
Wikibase\NamespaceChecker->isExcluded                                                                                                                                31  0.0019     1488  0.0011     1488
SiteConfiguration->getSetting                                                                                                                                         2  0.0003     1472  0.0001     1472
Parser->initialiseVariables                                                                                                                                           1  0.0028   319192  0.0001     1472
LBFactoryMulti->makeServerArray                                                                                                                                       1  0.0001     1680  0.0000     1464
Wikibase\CopyrightMessageBuilder->build                                                                                                                               1  0.0231     3032  0.0001     1456
Article::newFromTitle                                                                                                                                                 1  0.0005     3304  0.0001     1448
Wikibase\DataModel\Deserializers\SiteLinkDeserializer->assertBadgesIsArray                                                                                           30  0.0018     1440  0.0011     1440
Message->escaped                                                                                                                                                     18  0.0822     4160  0.0007     1440
Wikibase\DataModel\Entity\Entity->getAliases                                                                                                                         16  0.0014     7152  0.0007     1440
Wikibase\DataModel\SiteLinkList->hasLinkWithSiteId                                                                                                                   30  0.0028     1440  0.0014     1440
Skin::getSkinNameMessages                                                                                                                                             1  0.0004     1432  0.0001     1432
MWEchoNotifUser::newFromUser                                                                                                                                          2  0.0055   204664  0.0003     1424
Title->checkQuickPermissions                                                                                                                                         12  0.0178  1270096  0.0006     1392
GeoCrumbs->getCustomData                                                                                                                                             29  0.0008     1392  0.0008     1392
MWMemcached->__construct                                                                                                                                              1  0.0002     1576  0.0001     1384
ArrayIterator->current                                                                                                                                               57  0.0015     1376  0.0015     1376
Wikibase\Lib\WikibaseValueFormatterBuilders->buildDispatchingValueFormatter                                                                                           3  0.0206   152760  0.0002     1368
ParserOutput->getDisplayTitle                                                                                                                                        28  0.0017     1344  0.0010     1344
MagicWord->match                                                                                                                                                     28  0.0029     1912  0.0012     1344
StatCounter->incr                                                                                                                                                     7  0.0002     1344  0.0002     1344
DataValues\DecimalValue->computeComplement                                                                                                                            8  0.0037     3648  0.0005     1344
GeoCrumbs->onParserBeforeTidy                                                                                                                                        28  0.0384     2688  0.0014     1344
LinkHolderArray->replaceInterwiki                                                                                                                                    28  0.0008     1344  0.0008     1344
FakeConverter->getConvRuleTitle                                                                                                                                      28  0.0007     1344  0.0007     1344
array_intersect_key                                                                                                                                                   2  0.0000     1328  0.0000     1328
Wikibase\Validators\UrlSchemeValidators->getValidators                                                                                                                3  0.0023    27336  0.0002     1320
header                                                                                                                                                                8  0.0002     1304  0.0002     1304
Wikibase\SqlStore->newEntityPerPage                                                                                                                                   3  0.0026   149992  0.0001     1296
Wikibase\DataModel\Deserializers\EntityIdDeserializer->__construct                                                                                                   27  0.0008     1296  0.0008     1296
DataValues\TimeValue->__construct                                                                                                                                    27  0.0068     1296  0.0024     1296
session_start                                                                                                                                                         1  0.0001     1296  0.0001     1296
Language->getDir                                                                                                                                                     16  0.0050     1568  0.0006     1280
MagicWord->initRegex                                                                                                                                                  4  0.0008     2416  0.0003     1264
Wikibase\DataModel\ReferenceList->addReference                                                                                                                       26  0.0034     6032  0.0014     1248
Wikibase\DataModel\Deserializers\ReferenceDeserializer->isValidSerialization                                                                                         26  0.0024     1248  0.0012     1248
Wikibase\DataModel\MapValueHasher->__construct                                                                                                                       26  0.0008     1248  0.0008     1248
Wikibase\DataModel\Deserializers\ReferenceDeserializer->assertSnaksOrderIsArray                                                                                      26  0.0016     1248  0.0010     1248
Wikibase\ItemContent->__construct                                                                                                                                     7  0.0016     1568  0.0006     1232
Wikibase\DataModel\Entity\Item::newFromArray                                                                                                                          2  0.0010     5080  0.0001     1216
Deserializers\TypedObjectDeserializer->assertAttributeInternalType                                                                                                   76  0.0047     3648  0.0029     1216
Wikibase\Repo\WikibaseRepo->getLegacyFormatDetectorCallback                                                                                                           2  0.0010     1248  0.0001     1200
Wikibase\Lib\Store\EntityContentDataCodec->getSupportedFormats                                                                                                        2  0.0001     1152  0.0001     1152
Wikibase\Repo\WikibaseRepo->getParserOutputJsConfigBuilder                                                                                                            1  0.0012     8824  0.0001     1128
Language->getDateFormatString                                                                                                                                         6  0.0003     1128  0.0002     1128
Wikibase\Lib\WikibaseValueFormatterBuilders->newEntityIdFormatter                                                                                                     3  0.0046    64024  0.0002     1104
RequestContext::getMain                                                                                                                                               8  0.0002     1104  0.0002     1104
LBFactoryMulti->getDBNameAndPrefix                                                                                                                                    2  0.0001     1104  0.0001     1104
Wikibase\SqlStore->newPropertyInfoTable                                                                                                                               1  0.0044   133584  0.0002     1096
{closure:/Library/WebServer/Documents/php-master/extensions/SyntaxHighlight_GeSHi/SyntaxHighlight_GeSHi.php:83-87}                                                    1  0.0003     1832  0.0000     1072
Wikibase\Validators\RegexValidator->__construct                                                                                                                      13  0.0004     1072  0.0004     1072
BaseTemplate->getFooterIcons                                                                                                                                          1  0.0002     1064  0.0001     1064
Wikibase\DataModel\Deserializers\ReferenceListDeserializer->assertIsArray                                                                                            22  0.0013     1056  0.0008     1056
Replacer->cb                                                                                                                                                          2  0.0001     1040  0.0001     1040
Wikibase\InternalSerialization\LegacyDeserializerFactory->newSnakDeserializer                                                                                         3  0.0013    44616  0.0001     1032
MagicWordArray->getRegex                                                                                                                                             28  0.0080    25768  0.0011     1032
Wikibase\Lib\EscapingValueFormatter->format                                                                                                                          34  0.0421     8224  0.0016     1024
Wikibase\Lib\Serializers\SerializationOptions->initOption                                                                                                             8  0.0013     1408  0.0004     1024
Block::parseTarget                                                                                                                                                    3  0.0209    10808  0.0003     1016
MemcachedBagOStuff->applyDefaultParams                                                                                                                                1  0.0000     1016  0.0000     1016
Cite->clearState                                                                                                                                                    637  0.0223    16272  0.0117     1008
Wikibase\ParserOutputJsConfigBuilder->__construct                                                                                                                     2  0.0020   146784  0.0002     1008
Wikibase\DataModel\DeserializerFactory->newSiteLinkDeserializer                                                                                                       3  0.0016    41376  0.0002      984
{closure:/Library/WebServer/Documents/php-master/extensions/Wikidata/extensions/Wikidata.org/resources/Resources.php:12-28}                                           1  0.0001     1528  0.0000      968
WikiEditorHooks::makeGlobalVariablesScript                                                                                                                            1  0.0028     1256  0.0002      968
LinkCache::singleton                                                                                                                                                824  0.0234      968  0.0234      968
Skin->getSkinName                                                                                                                                                    12  0.0003      960  0.0003      960
MessageCache::singleton                                                                                                                                            2305  0.1358     1144  0.0830      952
set_include_path                                                                                                                                                      2  0.0001      952  0.0001      952
Linker::splitTrail                                                                                                                                                    2  0.0024     1288  0.0001      944
Parser::normalizeUrlComponent                                                                                                                                         1  0.0001     1208  0.0000      944
Message::rawParam                                                                                                                                                     3  0.0001      936  0.0001      936
Wikibase\Lib\Store\Sql\SqlEntityInfoBuilder->__construct                                                                                                              2  0.0704   254048  0.0003      928
LBFactoryMulti->newLoadBalancer                                                                                                                                       1  0.0088  1567800  0.0001      928
Pimple->__construct                                                                                                                                                   1  0.0000      928  0.0000      928
DatabaseBase->__construct                                                                                                                                             1  0.0025     4544  0.0001      920
array_combine                                                                                                                                                         2  0.0001      920  0.0001      920
Wikibase\EntityPerPageTable->__construct                                                                                                                              3  0.0002      920  0.0001      920
DatabaseMysqli->mysqlDataSeek                                                                                                                                        19  0.0012      912  0.0007      912
Wikibase\Lib\EscapingValueFormatter->__construct                                                                                                                     19  0.0012      912  0.0007      912
DataTypes\DataTypeFactory->getType                                                                                                                                  346  0.0639   287544  0.0161      912
UniversalLanguageSelectorHooks::addPersonalBarTrigger                                                                                                                 1  0.0006     1040  0.0001      912
ResourceLoaderWikiModule->getDefinitionSummary                                                                                                                        2  0.0071     5472  0.0001      912
DateTime::createFromFormat                                                                                                                                            4  0.0001      896  0.0001      896
Wikibase\Lib\WikibaseValueFormatterBuilders->newHtmlTimeFormatter                                                                                                     1  0.0017    42352  0.0001      888
WatchedItem::fromUserTitle                                                                                                                                            1  0.0000      888  0.0000      888
session_set_cookie_params                                                                                                                                             1  0.0000      880  0.0000      880
Wikibase\Repo\Store\WikiPageEntityStore->__construct                                                                                                                  1  0.0001      920  0.0000      872
wfSpecialCiteNav                                                                                                                                                      1  0.0004      992  0.0001      864
DataValues\DecimalMath->__construct                                                                                                                                   9  0.0006      864  0.0003      864
Wikibase\DataModel\Serializers\SnakSerializer->__construct                                                                                                           18  0.0005      864  0.0005      864
Wikibase\Validators\TypeValidator->__construct                                                                                                                       18  0.0005      864  0.0005      864
ResourceLoaderModule->getMessages                                                                                                                                     4  0.0001      864  0.0001      864
Wikibase\DataModel\Deserializers\SnakDeserializer->__construct                                                                                                       18  0.0005      864  0.0005      864
range                                                                                                                                                                 1  0.0000      848  0.0000      848
Wikibase\RepoHooks::onBaseTemplateToolbox                                                                                                                             1  0.0000      840  0.0000      840
Wikibase\DataModel\Entity\Item->idFromSerialization                                                                                                                   2  0.0008     1248  0.0001      832
ParserOutput->recordOption                                                                                                                                            2  0.0001      824  0.0001      824
MWOAuthSetup::unconditionalSetup                                                                                                                                      1  0.0000      824  0.0000      824
Message->inContentLanguage                                                                                                                                           17  0.0017     1152  0.0008      816
LinkHolderArray->makeHolder                                                                                                                                           1  0.0031     1912  0.0001      816
IP::splitHostAndPort                                                                                                                                                  2  0.0002      880  0.0001      816
WikiPage->exists                                                                                                                                                     18  0.0483  2820552  0.0005      816
Wikibase\LanguageFallbackChainFactory->newFromLanguage                                                                                                                2  0.0062   108504  0.0003      808
ValueFormatters\GeoCoordinateFormatter->getSpacing                                                                                                                   10  0.0016      800  0.0004      800
Wikibase\Settings::singleton                                                                                                                                          5  0.0005     8816  0.0003      800
Wikibase\Repo\GenericEventDispatcher->registerWatcher                                                                                                                 3  0.0003      792  0.0002      792
ParserOutput->addExternalLink                                                                                                                                         2  0.0003      872  0.0001      776
ResourceLoaderModule->isKnownEmpty                                                                                                                                   16  0.0004      768  0.0004      768
ResourceLoaderFilePath->__construct                                                                                                                                  16  0.0009      768  0.0009      768
Wikibase\Repo\WikibaseRepo->newSnakFormatterFactory                                                                                                                   1  0.0360   426480  0.0003      768
readdir                                                                                                                                                              32  0.2956      768  0.2956      768
RequestContext::sanitizeLangCode                                                                                                                                     14  0.0014     1200  0.0006      752
StatCounter::singleton                                                                                                                                                8  0.0004      800  0.0003      752
Wikibase\Repo\View\TextInjector->__construct                                                                                                                          3  0.0006      984  0.0001      744
MWOAuthUISetup::conditionalSetup                                                                                                                                      1  0.0018   177360  0.0001      744
ini_set                                                                                                                                                               4  0.0001      736  0.0001      736
ResourceLoaderNoscriptModule->getPages                                                                                                                                1  0.0000      720  0.0000      720
Wikibase\Repo\Localizer\MessageParameterFormatter->__construct                                                                                                        2  0.0002      816  0.0001      720
Wikibase\DataModel\Term\Term->__construct                                                                                                                            15  0.0020      720  0.0010      720
PoolCounter::factory                                                                                                                                                  1  0.0001      760  0.0000      712
Wikibase\SqlStore->getEntityStoreWatcher                                                                                                                              2  0.0030    49280  0.0001      696
MWEchoDbFactory->__construct                                                                                                                                          7  0.0002      680  0.0002      680
Wikibase\Lib\Serializers\SerializationOptions->__construct                                                                                                            1  0.0008     1560  0.0001      672
Wikibase\Lib\Store\EntityRedirectResolvingDecorator->__construct                                                                                                      7  0.0007      672  0.0004      672
SiteList->getSite                                                                                                                                                    14  0.0008      672  0.0005      672
AbstractContent->isRedirect                                                                                                                                          14  0.0010      672  0.0005      672
Wikibase\Validators\CompositeValidator->__construct                                                                                                                  14  0.0006      672  0.0006      672
MagicWord::getDoubleUnderscoreArray                                                                                                                                  28  0.0019      760  0.0010      664
CirrusSearch\Hooks::initializeForUser                                                                                                                                 1  0.0020     1096  0.0001      664
Wikibase\RepoHooks::onSkinTemplateBuildNavUrlsNav_urlsAfterPermalink                                                                                                  1  0.0023     5144  0.0001      664
MWNamespace::getCanonicalIndex                                                                                                                                       39  0.0033     3936  0.0018      648
PathRouter->add                                                                                                                                                       3  0.0014     6048  0.0001      648
Profiler->__construct                                                                                                                                                 1  0.0000      640  0.0000      640
BabelStatic::onParserFirstCallInit                                                                                                                                    1  0.0007     3264  0.0000      632
{closure:/Library/WebServer/Documents/php-master/extensions/Wikidata/vendor/diff/diff/Diff.php:11-13}                                                                 1  0.0003     3088  0.0001      632
DatabaseBase->begin                                                                                                                                                   1  0.0017      928  0.0001      624
CacheTime->getCacheExpiry                                                                                                                                            13  0.0010      624  0.0005      624
Wikibase\InternalSerialization\LegacyDeserializerFactory->newSiteLinkListDeserializer                                                                                 3  0.0011    50888  0.0001      624
Wikibase\DataModel\SerializerFactory->newSiteLinkSerializer                                                                                                           3  0.0012    18240  0.0001      624
Wikibase\ChangeOp\FingerprintChangeOpFactory->__construct                                                                                                            13  0.0004      624  0.0004      624
ResourceLoaderModule->isRaw                                                                                                                                          13  0.0004      624  0.0004      624
Wikibase\DataModel\Deserializers\SnakDeserializer->newSomeValueSnak                                                                                                   2  0.0020     1968  0.0001      624
LocalisationCache->__construct                                                                                                                                        1  0.0003      864  0.0001      616
Wikibase\Lib\HtmlUrlFormatter->__construct                                                                                                                            1  0.0000      616  0.0000      616
Wikibase\ItemHandler->getContentClass                                                                                                                                 7  0.0002      616  0.0002      616
GenderCache::singleton                                                                                                                                                1  0.0001      664  0.0000      616
md5                                                                                                                                                                  11  0.0003      616  0.0003      616
ParserCache::singleton                                                                                                                                                5  0.0002      656  0.0002      608
Parser->__construct                                                                                                                                                   1  0.0013     1352  0.0001      608
